Alias	DSP.1001250007851.H.A02	DSP.1001250007851.H.A03	DSP.1001250007851.H.A04	DSP.1001250007851.H.A05	DSP.1001250007851.H.A06	DSP.1001250007851.H.A07	DSP.1001250007851.H.A08	DSP.1001250007851.H.A09	DSP.1001250007851.H.A10	DSP.1001250007851.H.A11	DSP.1001250007851.H.A12	DSP.1001250007851.H.B01	DSP.1001250007851.H.B02	DSP.1001250007851.H.B03	DSP.1001250007851.H.B04	DSP.1001250007851.H.B05	DSP.1001250007851.H.B06	DSP.1001250007851.H.B07	DSP.1001250007851.H.B08	DSP.1001250007851.H.B09	DSP.1001250007851.H.B10	DSP.1001250007851.H.B11	DSP.1001250007851.H.B12	DSP.1001250007851.H.C01	DSP.1001250007851.H.C02	DSP.1001250007851.H.C03	DSP.1001250007851.H.C04	DSP.1001250007851.H.C05	DSP.1001250007851.H.C06	DSP.1001250007851.H.C07	DSP.1001250007851.H.C08	DSP.1001250007851.H.C09	DSP.1001250007851.H.C10	DSP.1001250007851.H.C11	DSP.1001250007851.H.C12	DSP.1001250007851.H.D01	DSP.1001250007851.H.D02	DSP.1001250007851.H.D03	DSP.1001250007851.H.D04	DSP.1001250007851.H.D05	DSP.1001250007851.H.D06	DSP.1001250007851.H.D07	DSP.1001250007851.H.D08	DSP.1001250007851.H.D09	DSP.1001250007851.H.D10	DSP.1001250007851.H.D11	DSP.1001250007851.H.D12	DSP.1001250007851.H.E01	DSP.1001250007851.H.E02	DSP.1001250007851.H.E03	DSP.1001250007851.H.E04	DSP.1001250007851.H.E05	DSP.1001250007851.H.E06	DSP.1001250007851.H.E07	DSP.1001250007851.H.E08	DSP.1001250007851.H.E09	DSP.1001250007851.H.E10	DSP.1001250007851.H.E11	DSP.1001250007851.H.E12	DSP.1001250007851.H.F01	DSP.1001250007851.H.F02	DSP.1001250007851.H.F03	DSP.1001250007851.H.F04	DSP.1001250007851.H.F05	DSP.1001250007851.H.F06	DSP.1001250007851.H.F07	DSP.1001250007851.H.F08	DSP.1001250007851.H.F09	DSP.1001250007851.H.F10	DSP.1001250007851.H.F11	DSP.1001250007851.H.F12	DSP.1001250007864.D.A02	DSP.1001250007864.D.A03	DSP.1001250007864.D.A04	DSP.1001250007864.D.A05	DSP.1001250007864.D.A06	DSP.1001250007864.D.A07	DSP.1001250007864.D.A08	DSP.1001250007864.D.A09	DSP.1001250007864.D.A10	DSP.1001250007864.D.B01	DSP.1001250007864.D.B02	DSP.1001250007864.D.B03	DSP.1001250007864.D.B04	DSP.1001250007864.D.B05	DSP.1001250007864.D.B06	DSP.1001250007864.D.B07	DSP.1001250007864.D.B08	DSP.1001250007864.D.B09	DSP.1001250007864.D.B10	DSP.1001250007864.D.B11	DSP.1001250007864.D.B12	DSP.1001250007864.D.C01	DSP.1001250007864.D.C02	DSP.1001250007864.D.C03	DSP.1001250007864.D.C04	DSP.1001250007864.D.C05	DSP.1001250007864.D.C06	DSP.1001250007864.D.C07	DSP.1001250007864.D.C08	DSP.1001250007864.D.C12	DSP.1001250007864.D.D01	DSP.1001250007864.D.D02	DSP.1001250007864.D.D03	DSP.1001250007864.D.D04	DSP.1001250007864.D.D05	DSP.1001250007864.D.D06	DSP.1001250007864.D.D07	DSP.1001250007864.D.D08	DSP.1001250007864.D.D09	DSP.1001250007864.D.D10	DSP.1001250007864.D.D11	DSP.1001250007864.D.D12	DSP.1001250007864.D.E01	DSP.1001250007864.D.E02	DSP.1001250007864.D.E03	DSP.1001250007864.D.E04	DSP.1001250007864.D.E05	DSP.1001250007864.D.E06	DSP.1001250007864.D.E07	DSP.1001250007864.D.E08	DSP.1001250007864.D.E09	DSP.1001250007864.D.E10	DSP.1001250007864.D.E11	DSP.1001250007864.D.E12	DSP.1001250007864.D.F01	DSP.1001250007864.D.F02	DSP.1001250007864.D.F03	DSP.1001250007864.D.F04	DSP.1001250007864.D.F05	DSP.1001250007864.D.F06	DSP.1001250007864.D.F07	DSP.1001250007864.D.F08	DSP.1001250007864.D.F09	DSP.1001250007864.D.F10	DSP.1001250007864.D.F11	DSP.1001250007864.D.F12	DSP.1001250007864.D.G01	DSP.1001250007864.D.G02	DSP.1001250007864.D.G03	DSP.1001250007864.D.G04	DSP.1001250007864.D.G05	DSP.1001250007864.D.G06	DSP.1001250007864.D.G07	DSP.1001250007864.D.G08	DSP.1001250007864.D.G09	DSP.1001250007864.D.G10	DSP.1001250007864.D.G11	DSP.1001250007864.D.G12	DSP.1001250007864.D.H01	DSP.1001250007864.D.H02	DSP.1001250007864.D.H03	DSP.1001250007864.D.H04	DSP.1001250007864.D.H05	DSP.1001250007864.D.H06	DSP.1001250007864.D.H07	DSP.1001250007864.D.H08	DSP.1001250007864.D.H09	DSP.1001250007864.D.H10	DSP.1001250007864.D.H11	DSP.1001250007864.D.H12	DSP.1001250007868.B.A02	DSP.1001250007868.B.A03	DSP.1001250007868.B.A04	DSP.1001250007868.B.A05	DSP.1001250007868.B.A06	DSP.1001250007868.B.A07	DSP.1001250007868.B.A08	DSP.1001250007868.B.A09	DSP.1001250007868.B.A10	DSP.1001250007868.B.A11	DSP.1001250007868.B.C01	DSP.1001250007868.B.C02	DSP.1001250007868.B.C03	DSP.1001250007868.B.C04	DSP.1001250007868.B.C05	DSP.1001250007868.B.C06	DSP.1001250007868.B.C07	DSP.1001250007868.B.C08	DSP.1001250007868.B.C09	DSP.1001250007868.B.C10	DSP.1001250007868.B.C11	DSP.1001250007868.B.C12	DSP.1001250007868.B.D01	DSP.1001250007868.B.D02	DSP.1001250007868.B.D03	DSP.1001250007868.B.D04	DSP.1001250007868.B.D05	DSP.1001250007868.B.D06	DSP.1001250007868.B.D07	DSP.1001250007868.B.D08	DSP.1001250007868.B.D09	DSP.1001250007868.B.D10	DSP.1001250007868.B.D11	DSP.1001250007868.B.D12	DSP.1002510007866.C.D10	DSP.1002510007866.C.D11	DSP.1002510007866.C.D12	DSP.1002510007866.C.E01	DSP.1002510007866.C.E02	DSP.1002510007866.C.E03	DSP.1002510007866.C.E04	DSP.1002510007866.C.E05	DSP.1002510007866.C.E06	DSP.1002510007866.C.E07	DSP.1002510007866.C.E08	DSP.1002510007866.C.E09	DSP.1002510007866.C.E10	DSP.1002510007866.C.E11	DSP.1002510007866.C.E12	DSP.1002510007866.C.F01	DSP.1002510007866.C.F02	DSP.1002510007866.C.F03	DSP.1002510007866.C.F04	DSP.1002510007866.C.F05	DSP.1002510007866.C.F06	DSP.1002510007866.C.F07	DSP.1002510007866.C.G10	DSP.1002510007866.C.G11	DSP.1002510007866.C.G12	DSP.1002510007866.C.H01	DSP.1002510007866.C.H03	DSP.1002510007866.C.H04	DSP.1002510007866.C.H05	DSP.1002510007866.C.H06	DSP.1002510007866.C.H07	DSP.1002510007866.C.H08	DSP.1002510007866.C.H09	DSP.1002510007866.C.H10	DSP.1002510007866.C.H11	DSP.1002510007866.C.H12
N8	3.437010444	2.550982827	2.499945547	3.592916257	3.466427345	3.522085825	3.268164723	3.43219903	2.079357543	2.269846572	2.365447306	3.017030308	3.598398377	1.895943614	1.787920058	2.939941916	3.778034905	2.703931002	3.30932208	3.223246141	3.358409126	2.015986308	2.476479353	1.428482971	2.289848812	2.133899654	3.680572889	3.362613671	2.504133121	4.040471869	3.671291852	4.800217412	3.543065004	5.039521931	5.150565057	4.653357888	3.684347856	3.709633618	2.597653986	2.015062703	2.089004956	2.71960994	4.187421318	3.963027068	3.880285015	2.811843802	4.536765656	6.305215087	4.416561205	5.448648718	5.728279884	15.11712496	4.967274478	3.407188945	3.229133268	15.44989626	4.843877846	15.52509715	4.498913241	1.539408652	1.999121947	1.043612305	2.031773144	1.268799093	1.719941797	2.449098784	3.559605566	1.854053306	2.026557106	1.883994434	1.072138998	5.682750862	11.32432385	3.702799106	3.394114396	9.02052211	2.336532897	3.78695992	8.829319275	3.512829816	13.50361178	1.335051735	1.44046227	3.518878973	2.969936231	2.127852559	1.206476293	3.296001062	1.670347977	1.183458784	0.829254682	1.239014254	1.729813706	1.710783243	1.374279593	0.776777644	1.077027173	2.660717765	2.221837787	1.856045711	1.009256984	0.284046169	0.729844263	0.881882264	0.740539596	0.99232882	1.077896234	0.694673252	0.64910789	0	0.444096707	1.180357616	1.193675065	0.318968571	1.448251065	1.10793532	1.652251865	0	1.56778927	1.871900392	1.249332744	1.409042825	1.246122778	2.816271748	1.649391114	2.574527566	7.469804831	8.63688659	6.093310587	10.14906308	7.505521075	6.798536731	4.188202364	6.552214489	3.279938846	11.94062462	4.126376146	4.122347243	2.724470025	1.724489499	2.491399389	1.176249849	1.550641194	2.814550013	2.251001387	1.783349007	1.992707893	1.768785581	3.283333352	6.559796636	3.693691135	8.880168256	6.044222011	12.66917671	5.544912659	12.94589664	3.865868679	13.43090898	5.963592764	16.71458348	9.91260507	0.067364101	1.037776945	0.755051869	0.808754681	0.356069937	0.32632485	0.386761971	0.312505412	2.175968926	0.184192381	9.215634566	7.173537404	3.132002929	2.897203521	3.449935508	6.015811247	3.546201441	5.555936507	3.820450031	7.535318383	1.415048475	4.471795285	0	0.073308058	0.048410669	0.6497736	0.366709297	0.568841117	0	0.390102712	0.5724762	0.452727252	1.817405711	1.454278884	1.091477032	3.195704727	0	3.86062922	2.813141959	12.578603	0.350203393	1.674273423	2.254446238	3.739159045	2.4739176	8.438718529	1.874612716	1.741912338	0.430786248	1.950923779	0.89273031	0.85528517	1.822559428	1.180285055	3.775415845	0.295572822	6.77026895	2.973148591	1.581120175	3.951044438	9.032049114	2.21255946	9.333895804	2.906548079	6.119569791	6.912377912	7.849299629	2.81026301	1.022389115	2.329625183
NK1	0	0.169570166	0	0	0	0.130802933	0	0	0	0.010331751	0.218423415	0	0.203986045	0.149421613	0.302441742	0.137926869	0.010981076	0	0	0	0	0	0	0.012831827	0.526133095	0	0	0	0	0	0.109188665	0.045296973	0	0	0	0	0	0	0.17443964	0	0	0.181381983	0.029919251	0	0	0	0	0	0	0	0	0.02641517	0	0	0	0	0	0	0.09216678	0.040929639	0	0.087589838	0	0.000424371	0.036760683	0	0	0	0.01508002	0.004604379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056127293	0	0	0	0	0.045748062	0	0.056809537	0.008115473	0	0	0	0	0	0	0	0	0.01368374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180218788	0	0	0.031290212	0	0	0	0	0	0	0.013588415	0	0	0	0	0	0	0	0	0	0.00351383	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073187755	0	0	0	0	0	0	0.330484516	0	0.077297076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119614853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129622927
NK2	1.020357317	1.093930519	1.023429259	1.070342778	1.115738243	0.895979966	1.082664818	0.768825019	0.718436655	1.041533895	0.893760506	0.994103636	0.893504681	1.170279797	0.762690291	1.19158219	1.395514293	1.320909521	1.082824417	1.151895941	0.955625883	1.156356986	0.781496003	0.717293911	0.871759472	0.952551174	1.264243811	1.13204948	0.951423685	1.211190605	1.24417593	1.528286983	1.334700702	1.37870187	2.003129257	1.462281571	1.190233267	1.499286997	0.896219397	0.797885345	0.811462338	1.058549129	1.158563154	1.366500035	1.267713531	1.0670963	1.650687955	0.20748382	0.007168928	0.279443867	0.263381247	0.569854051	0.274441836	0.124626939	0.326625936	0.112417243	0.618608382	0	0.203991716	0.452684565	0.577501072	0.433102698	0.868561819	0.516490924	0.36426692	0.680290251	0.131006945	0.230369388	0.896049864	0.517650693	0.311280623	0.264305727	0	0.095281445	0.029798264	0.524835308	0.477440145	0.396930091	0	0	0	0.480550198	0.392883233	0.35016865	0.372264607	0.65251193	0.317808908	0.476427959	0.128809395	0.309396542	0.330648564	0.135551454	0.28013263	0.467571276	0.54438833	0.433820333	0.485884899	0.157293112	0.2305434	0.365209079	0.438137716	0.288209977	0.370286132	0.477298367	0.350648557	0.437745733	0.37757697	0.124243563	0.44769504	0.134157443	0.258500081	0.163639328	0.108471933	0.22397059	0.583832108	0.3632147	0.229840917	0.063839713	0.317339274	0.501946422	0.46751751	0.226538625	0.5079594	0.41624542	0.198719691	0.478112013	0	0.268023917	0	0.359143589	0.258111154	0.641719428	0.222249303	0.465860026	0	0.285176762	0.02322121	0.349471366	0.391878624	0.341780975	0.156117439	0.37120012	0	0.21696436	0.348169072	0.375549704	0.365766608	0.241403694	0	0.792261024	0.859841115	0.691347382	0.91332742	0.972900077	1.168763794	0.796172524	1.040448415	0.55883996	1.111103306	1.697269141	0.884730846	0	0	0.049206052	0	0	0	0	0	0	0.06278134	0	0.103860328	0	0	0	0	0	0	0	0	0	0.082746145	0.290017692	0.094958823	0	0	0	0.050902102	0	0	0.188143488	0	0.307792513	0	0	0.005100298	0.058330386	0	0	0	0	0	0	0	0	0	0.018787654	0	0.012986671	0.266403449	0.188681144	0.0442853	0.173555872	0.162285979	0.084870014	0	0	0	0	0	0	0	0.071739937	0.088699547	0.166581875	0.542936931	0.105852305	0.031706625	0.363945125	0.071111105
NKT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP	0	0.165869037	0.216795808	0.16073818	0	0	0.12395069	0.211451903	0.188074308	0	0	0.549151272	0	0.543622363	0.028269327	0.772083511	0.733665496	1.157468695	0	0.296127739	0	0	0.315940184	0.364166408	0.060082691	0.407163251	0.441161258	0	0.63415402	0.084200519	0	0.30639475	0	0	1.046476517	0.323337892	0.046837264	0	0.450447308	0.064595743	0	0	0.830728748	0.532109867	0.297008115	0	0	0	0	0	0.090716842	0	0	0	0	0	0	0	0	0.039295054	0.017314571	0	0.010973633	0.049238257	0.246824937	0.291816409	0.231095023	0	0.562666955	0	0.559338089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024195994	0	0	0.141180555	0	0	0	0	0	0	0.140777693	0	0	0	0	0	0	0	0	0	0	0.164691585	0	0.034119216	0	0.10475783	0.091252156	0	0	0.091056001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.949821238	0.03982196	0.131502761	0.206827493	1.280872482	1.383720608	0.339149359	1.275744379	1.98739181	0.902046823	1.052599094	0.938381499	0	0	0.023644511	0	0	0.132356355	0	0.334363347	0	0.195425308	0	0	1.108402232	0.168226202	0	2.304174133	1.422224115	0	0	0.293575627	0.727719055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121764924
P	0.115135915	0	0	0.164238782	0.047184362	0.042666338	0.014257712	0.006748168	0.011823009	0	0.031834689	0.073783921	0	0.225792166	0.033224588	0	0.135295495	0.118834101	0.012659798	0.37567342	0.194660856	0.070623588	0.132300697	0	0	0	0.156155005	0	0.109200135	0	0	0.585176349	0	0.416628074	0.457160689	0	0	0.27321581	0.097591008	0	0	0.109857801	0	0	0	0.012054048	0	0.962200835	0.358351866	0	0.028453213	0.430580411	0.134814759	0	0.106146204	0.315983024	0.001742042	1.088533425	0.101817824	0.050486136	0.011713223	0	0	0	0.120452094	0	0.097190346	0	0	0.011723841	0	0	0	0	0	0.088016192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007989703	0	0	0	0	0	0	0	0	0	0	0.155383052	0	0	0	0.00530942	0	0	0	0	0	0.006204712	0	0	0	0	0	0	0	0	0	0	0	0.369291684	0.222191132	0.256792198	0.075417277	0.696787491	0.262712679	0.38514894	0.150898626	0.402067133	0.265728929	1.817592393	0.19525115	0.023012092	0	0	0.13820251	0.017384314	0	0.081995648	0	0.006128448	0.028040206	0	0	0	0	0.143695873	0	0	0	0	0	0	0.090917686	0	0	0	0	0	0	0	0	0	0	0	0.007318758	0.015879244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016723939	0	1.522898197	0	0	0	0.13606209	0	0.127851728	0	0.539569604	0	0	0	0.040450299	0
PDC	0.175370013	0.096706634	0.149839233	0.217532387	0.122538956	0.109753397	0.129088094	0.068334983	0.080479102	0.158866682	0.095222129	0.112984559	0.236770691	0.10535294	0.078315696	0.1208583	0.213206495	0.251700001	0.083636188	0.064137456	0.229607057	0	0.233946274	0.084469348	0.187214124	0.068173222	0.156882003	0.249128555	0.162554637	0.284850574	0.148275038	0.367155602	0.119825669	0.241416076	0.290998918	0.147998004	0.111212983	0.384444578	0.113787471	0.158505161	0.209305099	0.122624674	0.181682972	0.252480596	0.201872299	0.01277193	0.268225626	0.11023018	0.148169557	0.338651956	0.248079282	0.250770722	0.186101167	0.135577695	0.25791115	0.131373126	0.231670176	0.332728725	0.239227242	0.123796529	0.069316654	0.073668454	0.0962732	0.152224842	0.114485381	0.18783814	0.177503067	0.095110629	0.058744646	0.142382721	0	0.050143783	0	0	0.032544695	0.196275276	0.046934829	0.005714797	0.01491772	0	0.000698522	0.051844753	0	0	0.051304065	0	0	0.048951009	0	0.045649548	0.04088463	0.025900939	0.045756497	0.101811339	0.158763394	0.008795408	0.054590311	0	0	0.18208739	0.064882152	0.012213724	0.00101953	0.080678993	0.100577725	0.036361372	0.026947607	0.068327137	0.069802928	0.120344001	0.057520342	0	0	0	0.151069672	0	0	0.068480667	0.006125482	0	0.093517094	0	0.056192095	0	0.108318035	0.075704366	0.012252761	0.133530245	0.226779197	0.25351693	0.074202952	0.129865646	0	0.192194052	0.007196574	0.104547243	0.190830615	0.223030626	0.095342713	0.068607281	0.127094941	0.009279628	0.067097888	0	0.119121746	0.131711333	0.066704511	0.144391772	0.155456487	0.144766266	0.11633539	0.146486598	0.155962771	0.248368822	0.174225774	0.093817868	0.171397537	0.141318715	0.181515714	0.090384987	0.227266148	0	0	0.077765462	0	0	0.021265409	0	0	0	0.025657149	0.007422674	0.069095379	0	0.013897732	0	0.050724584	0	0.022851424	0	0.007540185	0	0.035585155	0	0	0.02632916	0	0	0	0	0.03907583	0.083122036	0	0	0.030262233	0	0	0	0.045883371	0	0	0	0.040136246	0	0.048006256	0	0	0.010044421	0	0.02673984	0	0	0	0	0	0.076012059	0	0	0.039904999	0.226520092	0	0.027816464	0.047110154	0.036179372	0.097351045	0	0.173923987	0.130581118	0.12798704	0.024995578	0.084774528
PT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01833914	0	5.005752033	0	5.502487499	0	4.307915042	0	3.685958904	0	1.029608727	0	0	0	0	0	0	0	0	0	0	0	0	0	2.853573201	0	3.039110735	0	0	0	3.270560819	0	3.464088755	0	1.743252193	0	0	0	0	0	0	0	0	0	0	0	0.602819942	0	0	0	0.861284236	0	0.670502609	0	0	0	0.118977205	0	0
PT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PT3	0	0	0	0	0	0	0.038888149	0	0	0.052576278	0	0.166637017	0	0	0	0	0.009749542	0	0.016024899	0.258520506	0.030850379	0	0.038939306	0	0	0	0	0	0	0.066263328	0.064061225	0.738236207	0.548568826	0.905253421	0.359072003	0.038372115	0	0.258931872	0	0	0	0	0	0.434697433	0.062376498	0.06040744	0.126674553	0	3.739820768	0	2.264272183	0	5.702520132	0	0.387468794	0.224300115	1.246282309	0	1.151351462	0	0	0	0	0	0	0	0	0	0	0	0	0	6.453038539	0.39319939	9.967215747	0	10.32442064	0	6.696831871	0	8.549612519	0.265181331	0.381963184	1.109411871	0.400438991	0	0.096474616	0.321020354	0	0	0	0	0	0	0	0	0	0.30458159	0.013477038	0.182333856	0	0	0	0	0	0.164015382	0	0	0	0	0	0	0	0	0.13959587	0.029157785	0	0	0	0	0	0	0.404486847	0.611805492	0	0	0	7.950564249	0	2.127917238	0	2.162501579	0	2.795924603	0	2.849295598	0	3.555302167	0	0	0	0	0	0	0	0	0	0	0	1.81311888	4.074633992	1.328950463	2.404159715	3.36571747	5.691154627	1.041727048	1.968311745	1.942929106	3.062186749	2.354180256	5.376617086	0	0	0	0	0	0	0	0	0	0.048250118	0	6.923498834	1.103751579	8.14404554	0	10.85704238	0	9.620944029	0	12.80363417	0	8.461373849	0	0	0	0	0	0	0	0	0	0	0	0	0	6.656099091	0.057725951	8.449107689	0	3.891138954	0	7.585819303	0	7.761277068	0	5.37847838	0	0	0	0	0	0	0	0	0	0	0	5.736937769	0.10660469	4.29772809	0	5.120747161	0	3.687413858	0	3.968152841	0	3.31737446	0.061128873	0
Th	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
